iter	Passed	Remaining
691	33565	208961
692	33610	208892
693	33657	208833
694	33708	208797
695	33762	208786
696	33813	208749
697	33855	208662
698	33906	208631
699	33960	208616
700	34012	208588
701	34060	208535
702	34111	208504
703	34148	208386
704	34193	208316
705	34243	208276
706	34293	208232
707	34339	208169
708	34391	208141
709	34441	208104
710	34487	208041
711	34532	207968
712	34577	207901
713	34615	207792
714	34663	207736
715	34708	207670
716	34748	207572
717	34797	207522
718	34849	207498
719	34889	207400
720	34943	207381
721	34995	207353
722	35047	207329
723	35100	207306
724	35149	207262
725	35192	207177
726	35237	207112
727	35290	207091
728	35338	207038
729	35389	207004
730	35430	206913
731	35478	206860
732	35522	206785
733	35576	206768
734	35623	206711
735	35657	206578
736	35702	206512
737	35757	206500
738	35802	206433
739	35855	206409
740	35900	206341
741	35952	206314
742	35997	206248
743	36046	206200
744	36098	206170
745	36152	206156
746	36203	206124
747	36257	206102
748	36300	206026
749	36351	205992
750	36399	205939
751	36444	205869
752	36489	205806
753	36538	205757
754	36591	205736
755	36641	205697
756	36693	205666
757	36746	205641
758	36783	205531
759	36825	205447
760	36873	205398
761	36915	205313
762	36960	205242
763	37012	205218
764	37063	205183
765	37114	205145
766	37167	205124
767	37220	205099
768	37272	205074
769	37322	205031
770	37371	204986
771	37418	204929
772	37464	204865
773	37516	204839
774	37563	204781
775	37611	204733
776	37662	204696
777	37706	204621
778	37745	204525
779	37796	204486
780	37838	204406
781	37892	204384
782	37946	204366
783	37995	204321
784	38045	204283
785	38098	204260
786	38149	204225
787	38188	204124
788	38231	204046
789	38272	203957
790	38324	203930
791	38378	203910
792	38423	203845
793	38470	203787
794	38521	203753
795	38571	203711
796	38618	203655
797	38670	203628
798	38725	203610
799	38776	203574
800	38827	203542
801	38873	203480
802	38927	203460
803	38975	203412
804	39023	203360
805	39069	203296
806	39123	203275
807	39173	203235
808	39225	203206
809	39280	203192
810	39327	203135
811	39374	203079
812	39426	203048
813	39479	203023
814	39535	203011
815	39581	202954
816	39625	202882
817	39682	202877
818	39725	202797
819	39773	202748
820	39821	202697
821	39866	202631
822	39916	202592
823	39961	202522
824	40012	202489
825	40069	202481
826	40124	202464
827	40177	202440
828	40221	202368
829	40268	202314
830	40318	202270
831	40370	202239
832	40409	202144
833	40456	202089
834	40500	202019
835	40550	201975
836	40605	201961
837	40654	201912
838	40696	201833
839	40748	201800
840	40804	201790
841	40844	201700
842	40890	201641
843	40931	201555
844	40984	201527
845	41027	201453
846	41082	201434
847	41128	201372
848	41175	201317
849	41216	201234
850	41266	201192
851	41316	201152
852	41365	201103
853	41412	201049
854	41461	201003
855	41511	200963
856	41546	200847
857	41585	200754
858	41635	200712
859	41680	200649
860	41732	200615
861	41781	200571
862	41831	200529
863	41877	200470
864	41927	200427
865	41963	200319
866	42012	200274
867	42061	200230
868	42114	200201
869	42155	200119
870	42204	200071
871	42252	200022
872	42311	200020
873	42356	199957
874	42405	199911
875	42452	199855
876	42495	199782
877	42549	199760
878	42599	199717
879	42645	199657
880	42687	199579
881	42736	199532
882	42778	199456
883	42828	199416
884	42864	199306
885	42909	199243
886	42955	199184
887	43016	199192
888	43063	199136
889	43108	199071
890	43154	199015
891	43203	198969
892	43258	198948
893	43308	198910
894	43361	198880
895	43412	198844
896	43459	198788
897	43504	198727
898	43550	198665
899	43593	198594
900	43644	198557
901	43687	198481
902	43737	198440
903	43785	198390
904	43836	198353
905	43890	198331
906	43943	198302
907	43998	198285
908	44050	198251
